P_z;I_z;U_z;P_s
33.8;140.3e-3;240.3;435.0e-6
31.7;137.5e-3;231.9;409.0e-6
29.47;133.7e-3;220.5;373.0e-6
27.63;130.8e-3;211.8;349.0e-6
25.39;126.8e-3;199.5;319.0e-6
23.56;123.6e-3;190.5;284.0e-6
21.55;119.9e-3;179.4;254.0e-6
19.51;115.8e-3;169.0;232.0e-6
17.72;111.9e-3;158.2;208.0e-6
16.27;108.8e-3;149.5;184.0e-6
14.30;103.9e-3;137.7;141.0e-6
12.69;99.7e-3;127.1;120.0e-6
10.90;94.6e-3;115.3;92.8e-6
9.58;90.4e-3;105.8;77.0e-6
8.01;84.9e-3;94.2;49.2e-6
6.68;79.9e-3;83.3;24.1e-6 
